id,created_date,closed_date,state,district,municipality,village,area,pincode,category,priority,status,description,user_contact,image_path
CMP-001,2025-01-03,2025-01-07,Maharashtra,Mumbai,Mumbai,Andheri,North Zone,400053,Water Supply,High,Closed,No drinking water in ward 12 for two days,,
CMP-002,2025-01-09,2025-01-12,Karnataka,Bengaluru Urban,Bengaluru,Whitefield,South Zone,560066,Road Damage,Medium,Closed,Potholes near bus stand,,
CMP-003,2025-01-18,2025-01-25,Delhi,East Delhi,Delhi,Preet Vihar,East Zone,110032,Garbage,Medium,Closed,Garbage not collected from market street,,
CMP-004,2025-02-02,2025-02-11,Tamil Nadu,Chennai,Chennai,Nungambakkam,West Zone,600034,Street Light,Low,Closed,Street lights not working near park,,
CMP-005,2025-02-10,2025-02-18,Telangana,Hyderabad,Hyderabad,Secunderabad,Central Zone,500003,Drainage,High,Closed,Blocked drain causing flooding near school,,
CMP-006,2025-02-14,2025-02-20,Maharashtra,Pune,Pune,Kothrud,North Zone,411038,Road Damage,Medium,Closed,Road cave-in near highway junction,,
CMP-007,2025-02-20,2025-03-01,Gujarat,Ahmedabad,Ahmedabad,Bhadra,South Zone,380005,Water Supply,High,Closed,Water pipe burst on main road,,
CMP-008,2025-03-01,2025-03-08,West Bengal,Kolkata,Kolkata,Ballygunge,East Zone,700006,Street Light,Low,Closed,Street light pole damaged by vehicle,,
CMP-009,2025-03-05,2025-03-14,Rajasthan,Jaipur,Jaipur,Bani Park,West Zone,302002,Garbage,Medium,Closed,Overflowing garbage bins near market,,
CMP-010,2025-03-12,,Delhi,South Delhi,Delhi,Hauz Khas,Central Zone,110022,Drainage,High,In Progress,Manhole cover missing on main road – safety hazard,,
CMP-011,2025-03-20,,Karnataka,Bengaluru Urban,Bengaluru,Indiranagar,South Zone,560038,Water Supply,Medium,Pending,Intermittent water supply for the past week,,
CMP-012,2025-04-01,,Maharashtra,Mumbai,Mumbai,Worli,North Zone,400018,Road Damage,Low,Pending,Speed breaker damaged and needs repair,,
CMP-013,2025-04-10,,Telangana,Hyderabad,Hyderabad,Dilsukhnagar,East Zone,500016,Garbage,High,In Progress,Illegal dumping site near residential area,,
CMP-014,2025-04-18,,Tamil Nadu,Chennai,Chennai,Royapettah,West Zone,600014,Street Light,Medium,Pending,Multiple street lights out on main road,,
CMP-015,2025-04-25,,Uttar Pradesh,Lucknow,Lucknow,Residency Road,Central Zone,226001,Drainage,Low,Pending,Drainage overflow after rains,,
CMP-016,2025-05-02,,Gujarat,Surat,Surat,Surat,South Zone,395003,Water Supply,High,In Progress,Contaminated water supply reported in sector 4,,
CMP-017,2025-05-10,,Rajasthan,Jaipur,Jaipur,C-Scheme,North Zone,302004,Road Damage,Medium,Pending,Road surface eroded near school zone,,
CMP-018,2025-05-15,,West Bengal,Kolkata,Kolkata,Alipore,East Zone,700007,Garbage,Low,Pending,Waste bins not emptied in 5 days,,
